id,text,label
1,不是黑人，但是就你这情况今年百大UP应该是有了，如果你是黑人同时还被种族歧视被校园暴力家庭暴力，今年百大冲进前十肯定是轻松，前三也可以争一争。（手动狗头）,hate
2,他骂的是bitch，用bitch一词骂女的比男的严重多了,hate
3,美国警察暴力执法，黑人军官被喷辣椒水：为国效力却这样对我？,not_hate
4,黑人好好看,not_hate
5,就是大饼脸，单眼皮之类的，其实在美国很多亚裔女生都是长这样，只不过她们会去晒黑还有会健身,not_hate
6,外地人在公交车里听见两个重庆人在吵架，只听懂了妈卖批三个字,not_hate
7,什么叫文人也是男人所以就可以理解了？男人都是渣男？,hate
8,真是服了，人家也就是为了节目效果来这么一下然后变成资辞了，冤不冤，你就退一万步，就算人家是个不怎么样的人，做这种无聊无趣的表情包xjb黑人家就应该了？听了想打人那个就算开个玩笑，那个什么鸡儿放假，那简直过分了好吧,not_hate
9,我就说点我的想法，有处女情结的最好自己也是个处男。恋爱时有性生活的就不要抱怨自己老婆是个非处。 我都这样说了师们能不能放过我。,not_hate
10,大猪蹄子四个字能和女权扯上关系?生活很苦吧您,not_hate
11,这是故意的，导演的电影里基本上日本人就不太可能是坏人。赛德克巴莱已经算是把日本人拍的比较坏的了。赛德克巴莱是一部好电影，但是它的屁股太歪了，大陆人，台湾人，日本人看完了都心理上接受不了,not_hate
12,所以黑人学生受到压迫是这位教授逼出来的？,not_hate
13,黑人有匪帮风，亚洲人有傅满洲风，想想就带劲,not_hate
14,霍顿也只是白人中心主义，坚信有色人种就是劣等的种族歧视而已，不代表人家心思不单纯吧。,hate
15,"因为黑命贵本身就是对黑人的严重歧视。题主之所以有这个疑问，是对“歧视”概念产生了歧视。,什么叫歧视？说屎臭不是歧视，说粪香才是歧视。可是在实际操作中，被歧视者抗议让自已利益受损的歧视，却推广能让自已获益的歧视。",hate
16,今年文科黑龙江一二本差太多了，我这卡线太尴尬了437，中间，位次也不是很高，复读还是走二本,not_hate
17,这个在广东碰到过一次，小偷装鬼吓人，然后偷东西。,not_hate
18,辽宁和韩国人口相差1500万，居然会被称为差不多,not_hate
19,慢慢大家还会发现...黑种人也歧视黄种人,hate
20,中国目前女权或者性别平权歌舞升平的气象只是一种幻觉，很快就会转瞬即逝了。,not_hate
21,简单一点，你觉得在美国说黑人懒惰肮脏愚昧会不会构成种族歧视,hate
22,这个，，，无解。虽然我是女生，但我也的确搞不懂。你确定自个儿不是备胎吗？,not_hate
23,觉得评论区恶意满满你们咋知道男生没有询问过调位置，你们咋知道女生不心疼男生，一张图片你们就想到那么多真是过分了,not_hate
24,如你所说是(scientifically)最好的结果了。就怕nbt最后懒得弄大，撤稿完事就不管了 毕竟说回来人家就一杂志社，这种实验重复的工作照理应该是科研机构负责的，但是河北科大怕也是没这心，或者有心无力吧,not_hate
25,那年我大一 冬天时一共去看过三场 福建 江苏 新疆 都赢了 尤其是新疆那场太激动了 后来也搞笑 季后赛没外援 再后来就迁走了,not_hate
26,其实没别的原因，主要是我歧视黑人[吃瓜]。,hate
27,在知乎黑日本，答主也是有勇气。你黑人家的“精神国度”，人能不挑脚？ 答主也是厉害，要我肯定被这么多喷子恶心死。,not_hate
28,很多时候在外地人说普通话的时候，四川人其实也是在说普通话的，不过不太标准。所以可能会有觉得是在说四川话，因为平时上课交流什么的大家都是用方言，只有在很少的时候才会用普通话,not_hate
29,我也是洛阳的，那些说我们偷井盖的，你要是开心的话，全世界的井盖都可以是我们河南人偷的,hate
30,侠影之谜里韦恩来到西藏的时候，旁白说道这是世界上最黑暗的敌方（是这个意思），涉嫌抹黑中国。,not_hate
31,在油管上看到A7的设计开模视频，内饰确实是个亚裔小哥,not_hate
