ID,text,label,source_sheet
3869,This is wrong let it be known they are stealing their land to build oil pipelines this is wrong they're destroying their burial grounds to run a pipeline through it,hate,Accusations
4334,"I only want the media to pay tribute to all of the black people who were murdered by uniforms as well....I hate HATE, but this is the outcry of the African American people...FAIR and EQUAL treatment...why is it a double standard...there has been no tribute to all the people they gunned down like animals and.all the officers are alive and has not been punished!",hate,Accusations
5433,"Come on really, a rigged debate. That's your concern. The entire Democracy is owned by capitalism. A guy on the corner sells $10 bag of crack cocaine goes to jail.

Yet bankers and wall street steal billions and no criminal charges are filed. They crashed the entire economy, no charges. The most recent out rage is Wells Fargo that is asking us to believe that the scam was lower level management while the CEO pockets $200 million. 

At least the CEO could have had enough guts to tell Elizabeth Warren, ""Where have you been? It's called doing business in America.""

It's all about the money. Take a survey, take a poll and please let me know how many people with a net worth over $5 million are in jail, percentage wise.

Money makes the politicians go round. How are you going to put in check the people that have made you a millionaire. By the way does anybody know where I can get a fity rock. 

Debate rigging is the least of this Country's problems. The entire system is rigged.  Check Jefferson's letter to Madison in regards to Shay's rebellion. However, I, at least have an advantage over many people by no doing of my own.

I got lucky,  I was born white and nobody ever owned by Great Grand Parents.  Worse yet I could have been born a Native American. There are a couple left right? Really a rigged debate.

Barry Amato",hate,Accusations
9780,What's the difference? Israel wants all of the land for the Jews even though the Jewish state is stealing Palestinian lands.  Does any remember that Jesus was a Palestinian?,hate,Accusations
9782,I have no questions about Israeli long term intentions in the West Bank. The Jews will steal it for themselves and no one will lift a finger to stop them.,hate,Accusations
10387,"What a goddam crime!  If there wasn't any oil in the Middle East, Israel would have never have been 'created' in the land of Palestine, displacing 750,000 Palestinians, killing 10,000 more initially and continually butchering more every day.  Original backing was mostly the Rothchilds working out of Britain.  Now its the USA and Big Oil funded by you, the taxpayer.",hate,Accusations
10455,"America is perpetuating a cycle of war and unjust violence by Israel in the Middle East. And who's it's main supporter? America.. ( so called democrats, please lead by example for the world to follow. ) 
World powers make me sick.",hate,Accusations
10516,"This Fake Israel is not America's friend, they are the ones who got you in the wars in the first place. And have you now in debt, while they are debt free. The Jews are the ones who put Obama and Bush in the seat . The Ashkenazi' Jews hate the white Americans and are secretly robbing you of your Guns, Rights, Property, Food, Entertainment industries and now your country. White Americans they have infiltrated your soil.",hate,Accusations
13102,I'm sorry that you never developed a decent history or representable culture so that you have to steal the european one to make yourself feel equal.,hate,Accusations
14110,"It's funny that some white americans think they are more native than the Indians becuase they raped and killed them a while back in history. White people are NOT native in US, respect the borrowed land. You are immigrants too.",hate,Accusations
15209,India is the new Israel. They both are deadly murderers. Since Modi becomes PM people are beaten to death for eating beef almost every week!,hate,Accusations
19537,"so after a mass murder, lynching people and making their life miserable now they claim to be less violent ?
What if tomorrow isis(which is particularly funded and backed by US and zionist regime) claims to be less violent ? Will their atrocities be forgiven ? Thousands of innocent people are murdered and what mericans care about is a fucking wall and to send back immigrants, duh ! WOW !",hate,Accusations
33837,"Another attempt of AJ+ to divert its readers and viewers from truth, buy covering just one side of the history and showing interviews of anti israel by ideology. 

The village in this case is in ISRSEL and is not Palestinians in any border. The population living there is Beduins, they are citizens of Israel since its creation, they serve in Israel Defense Forces and in other public offices. 

Many of the Beduins in Negev Desert build ilegal and without authorization from national government. Supreme Court rule some weeks ago same demolition to a Jewish build up in the West Bank. 

Instead of showing the whole picture, AJ+ choose to show lies and divert the viewers to hate Israel and to think it's doing cruelties. 

Shame on you, AJ +",hate,Accusations
39198,Always taking our land for there greed.,hate,Accusations
52020,"If yall are gonna deport immigrants don't just deport my people. deport white ppl also for coming illegally from Britain. Lemme remind yall United States is ALL immigrants everyone in here is a immigrant . Don't came at me with ""oh we're white this is our land"" this is native & Aztec land . Yall came and raped indigenous women & were the ones getting kicked out ? Cmon now that's completely unfair & not right . Trump is a waste of life man . He acts like a 12 year old brat who wants a president that can't even act like an adult",hate,Accusations
125288,"and you american think you have democracy and call out on other country? guess what democracy is a joke and a big fat lie! go search what gerrymandering is.. its not you guys who decide who is going to represent you, its the politicians decides who is going to vote for them!! you guys live in police states controlled by politicians which are bought by corporations,. what a joke!",hate,Accusations
125353,"..one of the BIGGEST problems with the airlines, is the GREEDY, MONEY GRUBBING practice of 'OVERBOOKING' flights to make sure that the flight is full. ......money, money, money, money, money, .............! (...oh, and if you have to 'boot' someone, make sure it's a person of color!)",hate,Accusations
168245,"So cruel. We may have different religions but we all belong to one human race. The purpose of religion is to control oneself. But if u treat other religion this way, u are no different from the terrorists.",hate,Accusations
177627,How can people celebrate cinco de mayo when the spaniards murdered the Aztecs and stole their land and defeated the French who tried to steal it from the spaniards. Mexicans have no rights to the land!!!,hate,Accusations
202722,In America this couldn't possibly happen........... because the cops are above the law and the majority of whites don't think police brutality is a reason to protest.,hate,Accusations
202738,"This is a proven technique used by right winged zealots to win/steal elections. If it weren't for the race inspired protest, caused by a few Police officers killing  innocent black folk before the US elections, there would have been no protest of racial tension and Donald Trump would not have been president.",hate,Accusations
208575,I support Assad 100% and not the isis rebels that are destroying the country!!!!! People need to do their research and see who's really destroying the country. Cough the United States cough.,hate,Accusations
208576,And then you have people supporting assad... how can you support someone that's killing his own people? Or are they supporting him out of fear?,hate,Accusations
208596,"He might be a war victim, but as a Syrian citizen I blame these people for all the death toll and destruction that happened in Syria... 
No matter if these people were aware of what they caused or not. Because before this damn revolution Syria was a country of peace and expected  progress with some freedom restrictions which were getting better. Then these people had extreme radical Islamic mentality, they were greedy for money, plus the nasty interventions of the USA, Turkey and Saudi Arabia. Hence we the Syrian people who believe in our land hope the world could look at our crisis with an objective eye and to restrict its reaction toward special cases like this one since it could be plotted for global sympathy.",hate,Accusations
208597,Don't believe him he is criminal he killed tens of our children all media not telling the truth i live in Aleppo we r suffring from ppl like him they killed torture us did bad things with us with our children women &men in the name of Islam,hate,Accusations
