case_id,text,label
1,I hate women. ,hate
2,I hate trans people. ,hate
3,I hate gay people. ,hate
4,I hate black people. ,hate
5,I hate disabled people. ,hate
6,I hate Muslims. ,hate
7,I hate immigrants. ,hate
8,I really can't stand women like you. ,hate
9,I really can't stand trans people like you. ,hate
10,I really can't stand gay people like you. ,hate
11,I really can't stand black people like you. ,hate
12,I really can't stand disabled people like you. ,hate
13,I really can't stand Muslims like you. ,hate
14,I really can't stand immigrants like you. ,hate
15,I despise women. ,hate
16,I despise trans people. ,hate
17,I despise gay people. ,hate
18,I despise black people. ,hate
19,I despise disabled people. ,hate
20,I despise Muslims. ,hate
21,I despise immigrants. ,hate
22,I detest women. ,hate
23,I detest trans people. ,hate
24,I detest gay people. ,hate
25,I detest black people. ,hate
26,I detest disabled people. ,hate
27,I detest Muslims. ,hate
28,I detest immigrants. ,hate
29,I absolutely loathe women. ,hate
30,I absolutely loathe trans people. ,hate
31,I absolutely loathe gay people. ,hate
32,I absolutely loathe black people. ,hate
33,I absolutely loathe disabled people. ,hate
34,I absolutely loathe Muslims. ,hate
35,I absolutely loathe immigrants. ,hate
36,Disgusted by all the women around here. ,hate
37,Disgusted by all the trans people around here. ,hate
38,Disgusted by all the gay people around here. ,hate
39,Disgusted by all the black people around here. ,hate
40,Disgusted by all the disabled people around here. ,hate
41,Disgusted by all the Muslims around here. ,hate
42,Disgusted by all the immigrants around here. ,hate
43,I have so much disdain for these women. ,hate
44,I have so much disdain for these trans people. ,hate
45,I have so much disdain for these gay people. ,hate
46,I have so much disdain for these black people. ,hate
47,I have so much disdain for these disabled people. ,hate
48,I have so much disdain for these Muslims. ,hate
49,I have so much disdain for these immigrants. ,hate
50,I have so much hatred for you women. ,hate
51,I have so much hatred for you trans people. ,hate
52,I have so much hatred for you gay people. ,hate
53,I have so much hatred for you black people. ,hate
54,I have so much hatred for you disabled people. ,hate
55,I have so much hatred for you Muslims. ,hate
56,I have so much hatred for you immigrants. ,hate
57,So sick of being around women like you. ,hate
58,So sick of being around trans people like you. ,hate
59,So sick of being around gay people like you. ,hate
60,So sick of being around black people like you. ,hate
61,So sick of being around disabled people like you. ,hate
62,So sick of being around Muslims like you. ,hate
63,So sick of being around immigrants like you. ,hate
64,I feel nothing but contempt for women. ,hate
65,I feel nothing but contempt for trans people. ,hate
66,I feel nothing but contempt for gay people. ,hate
67,I feel nothing but contempt for black people. ,hate
68,I feel nothing but contempt for disabled people. ,hate
69,I feel nothing but contempt for Muslims. ,hate
70,I feel nothing but contempt for immigrants. ,hate
71,These women disgust me so much. ,hate
72,These trans people disgust me so much. ,hate
73,These gay people disgust me so much. ,hate
74,These black people disgust me so much. ,hate
75,These disabled people disgust me so much. ,hate
76,These Muslims disgust me so much. ,hate
77,These immigrants disgust me so much. ,hate
78,Women are the absolute worst. ,hate
79,Trans people are the absolute worst. ,hate
80,Gay people are the absolute worst. ,hate
81,Black people are the absolute worst. ,hate
82,Disabled people are the absolute worst. ,hate
83,Muslims are the absolute worst. ,hate
84,Immigrants are the absolute worst. ,hate
85,You women make me sick. ,hate
86,You trans people make me sick. ,hate
87,You gay people make me sick. ,hate
88,You black people make me sick. ,hate
89,You disabled people make me sick. ,hate
90,You Muslims make me sick. ,hate
91,You immigrants make me sick. ,hate
92,There is nothing worse than a woman. ,hate
93,There is nothing worse than a trans person. ,hate
94,There is nothing worse than a gay person. ,hate
95,There is nothing worse than a black person. ,hate
96,There is nothing worse than a disabled person. ,hate
97,There is nothing worse than a Muslim. ,hate
98,There is nothing worse than an immigrant. ,hate
99,Seeing women in this place makes me so angry. ,hate
100,Seeing trans people in this place makes me so angry. ,hate
101,Seeing gay people in this place makes me so angry. ,hate
102,Seeing black people in this place makes me so angry. ,hate
103,Seeing disabled people in this place makes me so angry. ,hate
104,Seeing Muslims in this place makes me so angry. ,hate
105,Seeing immigrants in this place makes me so angry. ,hate
106,Women who think they are my equal fill me with so much rage. ,hate
107,Trans people who think they are my equal fill me with so much rage. ,hate
108,Gay people who think they are my equal fill me with so much rage. ,hate
109,Black people who think they are my equal fill me with so much rage. ,hate
110,Disabled people who think they are my equal fill me with so much rage. ,hate
111,Muslims who think they are my equal fill me with so much rage. ,hate
112,Immigrants who think they are my equal fill me with so much rage. ,hate
113,Women like you make me furious. ,hate
114,Trans people like you make me furious. ,hate
115,Gay people like you make me furious. ,hate
116,Black people like you make me furious. ,hate
117,Disabled people like you make me furious. ,hate
118,Muslims like you make me furious. ,hate
119,Immigrants like you make me furious. ,hate
120,You and all the other women in this country make me boil with anger. ,hate
121,You and all the other trans people in this country make me boil with anger. ,hate
122,You and all the other gay people in this country make me boil with anger. ,hate
123,You and all the other black people in this country make me boil with anger. ,hate
124,You and all the other disabled people in this country make me boil with anger. ,hate
125,You and all the other Muslims in this country make me boil with anger. ,hate
126,You and all the other immigrants in this country make me boil with anger. ,hate
127,The utter scorn I feel for women is hard to to put into words. ,hate
128,The utter scorn I feel for trans people is hard to to put into words. ,hate
129,The utter scorn I feel for gay people is hard to to put into words. ,hate
130,The utter scorn I feel for black people is hard to to put into words. ,hate
131,The utter scorn I feel for disabled people is hard to to put into words. ,hate
132,The utter scorn I feel for Muslims is hard to to put into words. ,hate
133,The utter scorn I feel for immigrants is hard to to put into words. ,hate
134,I absolutely abhor all women. ,hate
135,I absolutely abhor all trans people. ,hate
136,I absolutely abhor all gay people. ,hate
137,I absolutely abhor all black people. ,hate
138,I absolutely abhor all disabled people. ,hate
139,I absolutely abhor all Muslims. ,hate
140,I absolutely abhor all immigrants. ,hate
141,Women are disgusting. ,hate
142,Trans people are disgusting. ,hate
143,Gay people are disgusting. ,hate
144,Black people are disgusting. ,hate
145,Disabled people are disgusting. ,hate
146,Muslims are disgusting. ,hate
147,Immigrants are disgusting. ,hate
148,All women are repulsive. ,hate
149,All trans people are repulsive. ,hate
150,All gay people are repulsive. ,hate
151,All black people are repulsive. ,hate
152,All disabled people are repulsive. ,hate
153,All Muslims are repulsive. ,hate
154,All immigrants are repulsive. ,hate
155,Women are absolutely despicable. ,hate
156,Trans people are absolutely despicable. ,hate
157,Gay people are absolutely despicable. ,hate
158,Black people are absolutely despicable. ,hate
159,Disabled people are absolutely despicable. ,hate
160,Muslims are absolutely despicable. ,hate
161,Immigrants are absolutely despicable. ,hate
162,Women are just so sickening. ,hate
163,Trans people are just so sickening. ,hate
164,Gay people are just so sickening. ,hate
165,Black people are just so sickening. ,hate
166,Disabled people are just so sickening. ,hate
167,Muslims are just so sickening. ,hate
168,Immigrants are just so sickening. ,hate
169,Women can't stop themselves from being absolutely revolting. ,hate
170,Trans people can't stop themselves from being absolutely revolting. ,hate
171,Gay people can't stop themselves from being absolutely revolting. ,hate
172,Black people can't stop themselves from being absolutely revolting. ,hate
173,Disabled people can't stop themselves from being absolutely revolting. ,hate
174,Muslims can't stop themselves from being absolutely revolting. ,hate
175,Immigrants can't stop themselves from being absolutely revolting. ,hate
176,Women like you are repugnant. ,hate
177,Trans people like you are repugnant. ,hate
178,Gay people like you are repugnant. ,hate
179,Black people like you are repugnant. ,hate
180,Disabled people like you are repugnant. ,hate
181,Muslims like you are repugnant. ,hate
182,Immigrants like you are repugnant. ,hate
183,You women are all dishonest. ,hate
184,You trans people are all dishonest. ,hate
185,You gay people are all dishonest. ,hate
186,You black people are all dishonest. ,hate
187,You disabled people are all dishonest. ,hate
188,You Muslims are all dishonest. ,hate
189,You immigrants are all dishonest. ,hate
190,All women like them are vile. ,hate
191,All trans people like them are vile. ,hate
192,All gay people like them are vile. ,hate
193,All black people like them are vile. ,hate
194,All disabled people like them are vile. ,hate
195,All Muslims like them are vile. ,hate
196,All immigrants like them are vile. ,hate
197,Women like you are just pathetic. ,hate
198,Trans people like you are just pathetic. ,hate
199,Gay people like you are just pathetic. ,hate
200,Black people like you are just pathetic. ,hate
201,Disabled people like you are just pathetic. ,hate
202,Muslims like you are just pathetic. ,hate
203,Immigrants like you are just pathetic. ,hate
204,Women with any power are a threat to civilisation. ,hate
205,Trans people with any power are a threat to civilisation. ,hate
206,Gay people with any power are a threat to civilisation. ,hate
207,Black people with any power are a threat to civilisation. ,hate
208,Disabled people with any power are a threat to civilisation. ,hate
209,Muslims with any power are a threat to civilisation. ,hate
210,Immigrants with any power are a threat to civilisation. ,hate
211,Women being in charge is a danger to our country. ,hate
212,Trans people being in charge is a danger to our country. ,hate
213,Gay people being in charge is a danger to our country. ,hate
214,Black people being in charge is a danger to our country. ,hate
215,Disabled people being in charge is a danger to our country. ,hate
216,Muslims being in charge is a danger to our country. ,hate
217,Immigrants being in charge is a danger to our country. ,hate
218,It's in women's nature to be uncivilised. ,hate
219,It's in trans people's nature to be uncivilised. ,hate
220,It's in gay people's nature to be uncivilised. ,hate
221,It's in black people's nature to be uncivilised. ,hate
222,It's in disabled people's nature to be uncivilised. ,hate
223,It's in Muslims's nature to be uncivilised. ,hate
224,It's in immigrants's nature to be uncivilised. ,hate
225,Only women are that violent and cruel. ,hate
226,Only trans people are that violent and cruel. ,hate
227,Only gay people are that violent and cruel. ,hate
228,Only black people are that violent and cruel. ,hate
229,Only disabled people are that violent and cruel. ,hate
230,Only Muslims are that violent and cruel. ,hate
231,Only immigrants are that violent and cruel. ,hate
232,Only women can be so ignorant. ,hate
233,Only trans people can be so ignorant. ,hate
234,Only gay people can be so ignorant. ,hate
235,Only black people can be so ignorant. ,hate
236,Only disabled people can be so ignorant. ,hate
237,Only Muslims can be so ignorant. ,hate
238,Only immigrants can be so ignorant. ,hate
239,No one else is as filthy as these women. ,hate
240,No one else is as filthy as these trans people. ,hate
241,No one else is as filthy as these gay people. ,hate
242,No one else is as filthy as these black people. ,hate
243,No one else is as filthy as these disabled people. ,hate
244,No one else is as filthy as these Muslims. ,hate
245,No one else is as filthy as these immigrants. ,hate
246,Typical of a woman to be that stupid. ,hate
247,Typical of a trans person to be that stupid. ,hate
248,Typical of a gay person to be that stupid. ,hate
249,Typical of a black person to be that stupid. ,hate
250,Typical of a disabled person to be that stupid. ,hate
251,Typical of a Muslim to be that stupid. ,hate
252,Typical of an immigrant to be that stupid. ,hate
253,Women are without a doubt the stupidest people on this planet. ,hate
254,Trans people are without a doubt the stupidest people on this planet. ,hate
255,Gay people are without a doubt the stupidest people on this planet. ,hate
