id,text,label
1,have you thought of that ? i guess not . for you is okay for white old angry men to go kill innocent people as long as,not_hate
2,i'm white and jewish  can i join your party ? oh that's right neither of those are qualifiers to be american . #maga brother,hate
3,chicago showers locker room policy with criticism - i would never let my daughters be subject to this . :,not_hate
4,proud nations r successful nations . nationality & patriotism r not racist . nwo globalist bastards r trying 2 push that narrative,not_hate
5,"jew michael skolnik is  "" jewish "" "" when it suits him and "" "" white "" "" when he wants to hate on whites """,hate
6,the democrats are the white supremacists  leftwings  the corrupt,not_hate
7,americas poorest white town proves link between race and crime #swrm via,not_hate
8,court got it right in striking down government-mandated speech for #pro-life pregnancy centers,not_hate
9,never said u were .. just said ur defense is shoddy as the white people who say i'm not racist i have black friend .. thats a shoddy defense correct ? ?,not_hate
10,people who use the american flag as a symbol of civic nationalism are clueless . do the,not_hate
11,the united states is the single biggest threat to the white race  in north america and abroad  that exists today . being a white nationalist and an american nationalist are mutually exclusive . death to america !,hate
12,new york rabbi charged with stealing $ 12.4 million from disabled kids via #jewish #rabbi #art2light,not_hate
13,when will #white america realize that national socialism is the answer ...,not_hate
14,with an annual income of 150k i doubt they are high school grads . theyre obviously highly educated in most cases . race is a way better predictor of voting trends among non-white electorate than any other indicator . time for conservatives to realize white voter are the base .,not_hate
15,if memory serves  it was fdr that destroyed the gop  and the whole south voted for him four times,not_hate
16,jew run google soliciting donations to support non-white invasion of europe | read more :,not_hate
17,delete your racist account . i want sanctuary from your stupid tweets,not_hate
18,muslims hate chameleons and kill them instantly whenever they see them so stay safe !,hate
19,"after 50 years of race-based legal activism aimed at whites  when we organize to resist it  they say  "" white "" "" is not a valid group definition """,not_hate
20,we are trying to fight isis  and now our own people are killing our police . our country is divided and out of control . the world is watching,not_hate
21,only a racist would suggest american judges are trained to be anti-white :,not_hate
22,belarusians were stripped of all assets by moscow jew #bolsheviks so vengeance was rife .,hate
23,: on how #diversity signals the end of #freespeech : #tcot #tpot #afire,not_hate
24,so how many white / black abortions ?,not_hate
25,an interesting theory but it doesn't change that jews are white,hate
26,y believe in the noble white myth that whites are a peaceful race that never,hate
27,interesting that you equate illegal with race . are you a racist ?,not_hate
28,the white race has an amazing #history filled with incredible accomplishments . through our achievements the whole world has benefitted .,hate
29,no #ronpaul2012 & friends = #ows & - holding usa back cc #tcot,not_hate
30,people have been combing over video frame by frame on youtu,not_hate
31,heretics = infidels halal to kill,hate
32,"icymi: obama refused to deport 820k illegal aliens guilty of murder, rape, drug offenses, & more via",hate
33,tore * why do jews hate white advocacy so much ? you need to check your jewish privilege .,hate
34,you're an interesting person for sure and i feel sorry that you think that way .,not_hate
35,what gov agency did they use to determine the so called ( real whites ),not_hate
36,"' holocaust ' debate / comments / news david cesarani dies aged 58 : david cesarani  british  "" holocaust educato ... """,not_hate
37,when i say white  i mean a,not_hate
38,because u think only whites are citizens and poc are special interest groups .,not_hate
39,no she is asking covertly for antifa to show up to polling stations & intimidate whitey . the white supremacy straw man is a front .,hate
40,china will join the tpp  rand #gopdebate,not_hate
41,you are spinning like a top after i destroyed your argument . its both only when attacked,not_hate
42,":  "" out of 112 healthcare plans available to congress members & staff  103 fund abortion on demand . "" "" #prolifecon """,not_hate
43,please watch this and make movements to educate christians on islam properly . u must meet bill warner !,not_hate
44,given how moderate & reasonable richard & mike were at the press conference  white students are now in an awkward position . #togetheruf,not_hate
45,he should be fired for virtue signaling like a cuck before any evidence was out . how can a man like that lead soldiers,hate
46,we are back to support you and you alone will win preserve our beautiful white race including hillary types,hate
47,"we kill, we go to jail. they slaughter us and get rewarded. miss me with this nonsense",hate
48,i wonder how many cpac guys know just how much the alt right is talked about by college republicans : ^ ),not_hate
49,my god people are stupid . she really believes everything she said in this question to #richardspencer,not_hate
50,tres revolutionary  doing the establishment's censorship free of charge ! #altright #maga,not_hate
51,stfu that's why the cia labels the kkk as a terrorist organization #gtfothiscountry,not_hate
52,"rt #hsbc whistleblower tells #c4news ' much more data to come  "" carroll foundation trust case """,not_hate
53,pl rt illegal-slaughter-waste is a mockery of gandhi jayanti,not_hate
54,btw you don't need to be % 100 to be white . you just need to be white .,not_hate
55,i don't understand why you're so racist and sexist ?,not_hate
56,#ferguson and #detroit are a reflection on the innate capacity of blacks to further and advance civilization,hate
57,there i sat w / my white fellows & white teacher . radio anounces : robert mugabe won the elections by far .,not_hate
58,war afoot now : rampantblack terrorism targeting whites >,hate
59,taqiyya is a problem here . it allows a muslim to deny their true believes to protect themselves from the unbelievers .,not_hate
60,evangelical groups should be teaching respect for the law. illegal immigrants are breaking the law. no amnesty of any kind,hate
61,stamp out islamophobia? how about stamp out islam and the dark invaders? they have to go back.,hate
62,black white supremacist :),not_hate
63,"rt the life of the prophet is valid as a law for every muslim  how many thousands of innocents did he slaughtered during his  "" holy "" "" life ? """,hate
64,if it a country where ppl come here legal yes. all illegals should be removed.,hate
65,their corporate masters bought them off,not_hate
66,sad to see them go  but thankful for this great group of summer interns ! keep fighting for faith  family  freedom .,not_hate
67,white supremacists ceased dominating & administering the us government well before 1964 .,not_hate
68,"five immigration falsehoods from the white house  "" ; """,not_hate
69,wow  the libertarian party just got false flagged ...,not_hate
70,in new york city  a black baby has a better chance of being aborted than being born - family research council,not_hate
71,"rt #pakistan  "" the incidents against christians are increasing ... "" "" #isla ... """,not_hate
72,gee i wonder why . why dont you tell us more about how ( ( ( you ) ) ) hate all white people ?,hate
73,i just heard white christmas playing and realized the liberals and #blm must hate it since it conta,not_hate
74,black life expectancy under slavery was above european average :,not_hate
75,so what's the conspiracy ? jews lied about white people who,hate
76,ideologies are racist  history's full of violence because of them.if we allow any ideals right wrong left or right  to alter history . 1/2,not_hate
77,extreme hypocrisy : wikipedia explains difference between gay  asian  black pride and white pride via,not_hate
78,we may pardon our personal enemies but should never pardon traitors like sar geelani who  by vomiting poison  are acting as enemies of india,not_hate
79,distinguish the international jew and a nationalistic jew . more people will understand or get confused ...,not_hate
80,us ( ( ( white ) ) ) people,not_hate
81,blame the white man . gets tiresome .,hate
82,it's just that the white man is indoctrinated to deny his own national and racial identity .,hate
83,"who are your people ? what did you do to help  "" your people "" "" in advncing the human race  besides just having pale skin ? """,hate
84,i impregnated 3 white women  what about you ?,not_hate
85,sure . a lot of those people arent stupid and brainwashed . they can see the dynamics .,not_hate
86,via : minnesota : three muslims convicted of conspiring to join the islamic state #tcot,hate
87,my friends and i are not scared of antifa  because we aren't nazis .,not_hate
88,he later apologized for his racist stupidity  but he has a tremendous case of,not_hate
89,just like white nations  white antiquity belongs to all  deconstructed via multilayered pastiche of ethnicities  genders  and classes . / 4,not_hate
90,mt : i'll be hosting washington watch live radio show for at 5/4 c . tweet for questions to be read on air .,not_hate
91,congratulate shri on opening up #fdi in #key growth sectors & boosting to achieve double digit growth,not_hate
92,more fake news,not_hate
93,everybody wanted to hate the white man  but it's the white man who you run to for protection ... seems about white,hate
94,you should consider one for his book white identity .,not_hate
95,. has articles on the unique and special connection of white people to nature,not_hate
96,put them on the boarder. put up a sign say we will not shoot any south bound aliens .,hate
97,sorry you seem to lack the willingness to reflect on your own behaviors and views . there r lots of us who don't approve of antifa tactics .,not_hate
98,i love it ! the media needs to stop saying that every black loves obama  every woman loves hillary  and every white for trump is racist .,not_hate
99,but if 1 white knocked out 1 black it would be plastered everywhere as a hate crime . just more pcbs,not_hate
100,will take all media away . this includes facebook & twitter . there will be no way to continue movement .,not_hate
101,this is why you need alt-right,not_hate
102,hahahaha ! ! something similar happened during 2014 elections in india,not_hate
103,every prez disappoints . just do what is right . israel = good model for whites . i'm leery of jews  but wish them well in israel .,hate
104,all european nations should pull out their armies from other countries . not our wars .,not_hate
105,white genocide accelerates in germany : three large german cities to tip non-white via,not_hate
106,what do asians say ? what about transgender fat children ? how about lesbian motorcyclists ? why are you trying to balkanise the country more ? it's almost like you have an agenda here . identity politics will destroy the left .,hate
107,all his reasons are the main ones that affect people . us people fight the war,not_hate
108,pretty sure the stuff in libraries passes spell check,not_hate
109,fred reed on america in 2034 : . hispanics could go either way . #tcot #altright,not_hate
110,british white people #london #uk #londonbridgeattack,not_hate
111,blumenthal is a typical jew politician who is frightened when a white man asks questions about the judiciary & judges . #gorsuch,not_hate
112,"or even better, get a job and pay her bills",hate
113,the antifa disturbed your event ?,not_hate
114,hopefully it gives you some perspective on the dangers of nationalism .,not_hate
115,how can government force people to act against their religious consciences ? -,not_hate
116,caroline sturdy colls publishes : recent phd caroline sturdy colls has published the first article based on her ...,not_hate
117,no . it's relevant . the question is are you against all ethnic advocacy groups or just anti white ? it's about specifying what your standards are .,not_hate
118,is stacked the f'n original alt right  that guy has been doing it before it was cool . god,not_hate
119,people in real trouble don't have the luxury of being antisoc,not_hate
120,its not just about one race  but the fact of the matter is black people are being killed at a higher rate by police than white people  even when many times none of them are doing anything wrong .,not_hate
121,seriously ? he fought for human rights . black and white . stop making this a matter of racism .,not_hate
122,"lol coming from the idiot with a racist vice mayor who  "" hates white people . "" "" opinion discarded . please kill yourself """,not_hate
123,. i for one am very passionate about making my part of making the white race better for a future . i have white babies ...,hate
124,the next time or has hate group leader on air  it's time to ask him about his white supremacy ties .,not_hate
125,will be live at #unitetheright in charlottesville  vasaturday august 12watch here :,not_hate
126,but clearly it was never originally intended for application outside white race .,hate
127,. grants to #plannedparenthood for breast cancer screening result in zero mammograms #defundpp,not_hate
128,the white race,not_hate
129,Muslims aren't terrorists They just want to die on their own terms but don't want to do it alone.,hate
130,sigh . were done here . you're clueless about black people . end white supremacy,not_hate
131,targeted race hate rape by muslims against white english girls . #england #rotherham,hate
132,the political doctrine is religious doctrine to muslims . the koran ( mo ) says kill  so they kill .,hate
133,normie dems will see just another f'ing white male .,not_hate
134,"send him to honduras with the other 500,000 pieces of trash",hate
135,councilor offended by anti-racist = anti-white stickers in lincoln  england | read more : via,not_hate
136,we're live to discuss the #scotus ruling in greece v . galloway ! join in here : #prayer,not_hate
137,pl . name them so that we fight such elements . we are separate from bjp because it has problems . you at least dm,not_hate
138,me too . trump's disavow was the best thing that happened to the alt-right cause now we don't have to tone it down .,not_hate
139,are you inviting me on a helicopter ? you white supremacists are so generous !,not_hate
140,race realism stares people in the face . they refuse to acknowledge it .,not_hate
141,jews freak out after german policemen play goebbels speech on radio at g7 summit | full story :,not_hate
142,: lol so says the anti unpeaceful white american that is happy leftist white american citize,not_hate
143,it is becoming increasingly difficult for christians to live out and share their faith on campus .,not_hate
144,islam / liberalism is dividing white people . we hate each other more than ever now . divide and conquer is their tactic .,hate
